wave[A] flux[Arbitrary]
280500 0.38263
281000 0.38219
281500 0.38174
282000 0.38129
282500 0.38084
283000 0.38039
283500 0.37995
284000 0.37950
284500 0.37905
285000 0.37860
285500 0.37815
286000 0.37771
286500 0.37726
287000 0.37683
287500 0.37640
288000 0.37596
288500 0.37553
289000 0.37509
289500 0.37466
290000 0.37423
290500 0.37379
291000 0.37336
291500 0.37292
292000 0.37249
292500 0.37206
293000 0.37162
293500 0.37119
294000 0.37075
294500 0.37032
295000 0.36989
295500 0.36945
296000 0.36902
296500 0.36859
297000 0.36815
297500 0.36772
298000 0.36728
298500 0.36685
299000 0.36642
299500 0.36598
300000 0.36555
300500 0.36513
301000 0.36471
301500 0.36429
302000 0.36388
302500 0.36346
303000 0.36304
303500 0.36262
304000 0.36220
304500 0.36178
305000 0.36136
305500 0.36094
306000 0.36052
306500 0.36010
307000 0.35968
307500 0.35926
308000 0.35884
308500 0.35842
309000 0.35800
309500 0.35758
310000 0.35716
310500 0.35674
311000 0.35632
311500 0.35590
312000 0.35548
312500 0.35506
313000 0.35464
313500 0.35422
314000 0.35380
314500 0.35340
315000 0.35299
315500 0.35258
316000 0.35218
316500 0.35177
317000 0.35137
317500 0.35096
318000 0.35056
318500 0.35015
319000 0.34974
319500 0.34934
320000 0.34893
320500 0.34853
321000 0.34812
321500 0.34771
322000 0.34731
322500 0.34690
323000 0.34650
323500 0.34609
324000 0.34569
324500 0.34528
325000 0.34487
325500 0.34447
326000 0.34406
326500 0.34366
327000 0.34325
327500 0.34285
328000 0.34244
328500 0.34203
329000 0.34164
329500 0.34124
330000 0.34085
330500 0.34046
331000 0.34007
331500 0.33968
332000 0.33928
332500 0.33889
333000 0.33850
333500 0.33811
334000 0.33772
334500 0.33733
335000 0.33693
335500 0.33654
336000 0.33615
336500 0.33576
337000 0.33537
337500 0.33497
338000 0.33458
338500 0.33419
339000 0.33380
339500 0.33341
340000 0.33301
340500 0.33262
341000 0.33223
341500 0.33184
342000 0.33145
342500 0.33105
343000 0.33066
343500 0.33027
344000 0.32988
344500 0.32950
345000 0.32912
345500 0.32874
346000 0.32836
346500 0.32798
347000 0.32760
347500 0.32723
348000 0.32685
348500 0.32647
349000 0.32609
349500 0.32571
350000 0.32534
350500 0.32496
351000 0.32458
351500 0.32420
352000 0.32382
352500 0.32344
353000 0.32307
353500 0.32269
354000 0.32231
354500 0.32193
355000 0.32155
355500 0.32118
356000 0.32080
356500 0.32042
357000 0.32004
357500 0.31966
358000 0.31928
358500 0.31891
359000 0.31853
359500 0.31815
360000 0.31777
360500 0.31740
361000 0.31703
361500 0.31667
362000 0.31630
362500 0.31594
363000 0.31557
363500 0.31521
364000 0.31484
364500 0.31448
365000 0.31411
365500 0.31375
366000 0.31339
366500 0.31302
367000 0.31266
367500 0.31229
368000 0.31193
